timestamp,datetime,type,side,proxyWallet,conditionId,asset,outcomeIndex,outcome,size,usdcSize,price,transactionHash,title,slug,eventSlug,icon,name,pseudonym,bio,profileImage,profileImageOptimized
1767585279,2026-01-05 03:54:39,TRADE,BUY,0x961afce6bd9aec79c5cf09d2d4dac2b434b23361,0x8cbdb53696459c9595a2ccbfedd0c336ad6cacb4f8c01df2e4e3f0c63f7b8ca9,49105872531573398534285292792342014565136318334030166359536785407822712120759,0,Up,200,2,0.01,0x58b65465c10193089fb283a593b6e451e428069ecdb1aa6b122e4786de92b2b8,"Ethereum Up or Down - January 4, 10PM ET",ethereum-up-or-down-january-4-10pm-et,ethereum-up-or-down-january-4-10pm-et,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,CRYINGLITTLEBABY,Brave-Crane,,,
1767585257,2026-01-05 03:54:17,TRADE,BUY,0x961afce6bd9aec79c5cf09d2d4dac2b434b23361,0x8cbdb53696459c9595a2ccbfedd0c336ad6cacb4f8c01df2e4e3f0c63f7b8ca9,49105872531573398534285292792342014565136318334030166359536785407822712120759,0,Up,21.66,0.4332,0.02,0xcc102d33e1c6c020d8b5665dc1292be9fb22bb63c538705a075bcc75f6fe2069,"Ethereum Up or Down - January 4, 10PM ET",ethereum-up-or-down-january-4-10pm-et,ethereum-up-or-down-january-4-10pm-et,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,CRYINGLITTLEBABY,Brave-Crane,,,
1767585253,2026-01-05 03:54:13,TRADE,BUY,0x961afce6bd9aec79c5cf09d2d4dac2b434b23361,0x8cbdb53696459c9595a2ccbfedd0c336ad6cacb4f8c01df2e4e3f0c63f7b8ca9,49105872531573398534285292792342014565136318334030166359536785407822712120759,0,Up,178.3355,3.56671,0.02,0xf5f71bf527b2db974dbd02b74a2f182ee497382e17138ac154514d653acb2c08,"Ethereum Up or Down - January 4, 10PM ET",ethereum-up-or-down-january-4-10pm-et,ethereum-up-or-down-january-4-10pm-et,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,CRYINGLITTLEBABY,Brave-Crane,,,
1767585231,2026-01-05 03:53:51,TRADE,BUY,0x961afce6bd9aec79c5cf09d2d4dac2b434b23361,0x8cbdb53696459c9595a2ccbfedd0c336ad6cacb4f8c01df2e4e3f0c63f7b8ca9,49105872531573398534285292792342014565136318334030166359536785407822712120759,0,Up,10.19385,0.203877,0.02,0x5dd210be438997877e1cdf0e1504d18e2ade0c028e3d21cf841eadd383209756,"Ethereum Up or Down - January 4, 10PM ET",ethereum-up-or-down-january-4-10pm-et,ethereum-up-or-down-january-4-10pm-et,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,CRYINGLITTLEBABY,Brave-Crane,,,
1767585229,2026-01-05 03:53:49,TRADE,BUY,0x961afce6bd9aec79c5cf09d2d4dac2b434b23361,0x8cbdb53696459c9595a2ccbfedd0c336ad6cacb4f8c01df2e4e3f0c63f7b8ca9,49105872531573398534285292792342014565136318334030166359536785407822712120759,0,Up,102,2.04,0.02,0x09526d00a6d53e5a81f1220a2fcf9a534dba0ecd38c9c3f3d0d50cb84d964b9b,"Ethereum Up or Down - January 4, 10PM ET",ethereum-up-or-down-january-4-10pm-et,ethereum-up-or-down-january-4-10pm-et,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,CRYINGLITTLEBABY,Brave-Crane,,,
1767585193,2026-01-05 03:53:13,TRADE,BUY,0x961afce6bd9aec79c5cf09d2d4dac2b434b23361,0x8cbdb53696459c9595a2ccbfedd0c336ad6cacb4f8c01df2e4e3f0c63f7b8ca9,49105872531573398534285292792342014565136318334030166359536785407822712120759,0,Up,50,2,0.04,0x5d61a13599123ce560521aeb8308b3dbcacd35b3ccb2d88087e2e4a840492bfd,"Ethereum Up or Down - January 4, 10PM ET",ethereum-up-or-down-january-4-10pm-et,ethereum-up-or-down-january-4-10pm-et,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,CRYINGLITTLEBABY,Brave-Crane,,,
1767585191,2026-01-05 03:53:11,TRADE,BUY,0x961afce6bd9aec79c5cf09d2d4dac2b434b23361,0x8cbdb53696459c9595a2ccbfedd0c336ad6cacb4f8c01df2e4e3f0c63f7b8ca9,49105872531573398534285292792342014565136318334030166359536785407822712120759,0,Up,50,2,0.04,0x56858692d14084f46264fb1de935aedead72bde64eaccef18c3957b22f18415d,"Ethereum Up or Down - January 4, 10PM ET",ethereum-up-or-down-january-4-10pm-et,ethereum-up-or-down-january-4-10pm-et,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,CRYINGLITTLEBABY,Brave-Crane,,,
1767585131,2026-01-05 03:52:11,TRADE,BUY,0x961afce6bd9aec79c5cf09d2d4dac2b434b23361,0x8cbdb53696459c9595a2ccbfedd0c336ad6cacb4f8c01df2e4e3f0c63f7b8ca9,49105872531573398534285292792342014565136318334030166359536785407822712120759,0,Up,40,4.4,0.11,0xcb4ae99a8f3af0c84920f604e40405fecb12e88115c618ea333fd0f065e79413,"Ethereum Up or Down - January 4, 10PM ET",ethereum-up-or-down-january-4-10pm-et,ethereum-up-or-down-january-4-10pm-et,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,CRYINGLITTLEBABY,Brave-Crane,,,
1767585123,2026-01-05 03:52:03,TRADE,BUY,0x961afce6bd9aec79c5cf09d2d4dac2b434b23361,0x8cbdb53696459c9595a2ccbfedd0c336ad6cacb4f8c01df2e4e3f0c63f7b8ca9,49105872531573398534285292792342014565136318334030166359536785407822712120759,0,Up,50,6,0.12,0xc4cec12b691ba7c4a970d80330ce06425385e4f653a71a87d1f736df828e83c5,"Ethereum Up or Down - January 4, 10PM ET",ethereum-up-or-down-january-4-10pm-et,ethereum-up-or-down-january-4-10pm-et,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,CRYINGLITTLEBABY,Brave-Crane,,,
1767585031,2026-01-05 03:50:31,TRADE,BUY,0x961afce6bd9aec79c5cf09d2d4dac2b434b23361,0x8cbdb53696459c9595a2ccbfedd0c336ad6cacb4f8c01df2e4e3f0c63f7b8ca9,49105872531573398534285292792342014565136318334030166359536785407822712120759,0,Up,54.945044,4.945054,0.09000000072800014,0x13463b242c428a86acf3c419aceedcbea2ba4e5367e11f55fb3fec2e7566f877,"Ethereum Up or Down - January 4, 10PM ET",ethereum-up-or-down-january-4-10pm-et,ethereum-up-or-down-january-4-10pm-et,https://polymarket-upload.s3.us-east-2.amazonaws.com/ETH+fullsize.jpg,CRYINGLITTLEBABY,Brave-Crane,,,
