timestamp,datetime,type,side,proxyWallet,conditionId,asset,outcomeIndex,outcome,size,usdcSize,price,transactionHash,title,slug,eventSlug,icon,name,pseudonym,bio,profileImage,profileImageOptimized
1767557667,2026-01-04 20:14:27,TRADE,BUY,0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,0x2b3bdb9a7d9b5b455de1da5898877d10d375bdcd6fd69ac4b50315e4f2046853,3681744695462624939795719025189239927106042881246968340323369881892713862461,1,Down,8.11,1.7842,0.22,0xad394c2a92101cb125d45040e0869fbf7a2d28a717f82474b29dfc85c8cfe830,"Bitcoin Up or Down - January 4, 3PM ET",bitcoin-up-or-down-january-4-3pm-et,bitcoin-up-or-down-january-4-3pm-et,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,gabagool22,Grown-Cantaloupe,ova here,,
1767557619,2026-01-04 20:13:39,TRADE,BUY,0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,0x2b3bdb9a7d9b5b455de1da5898877d10d375bdcd6fd69ac4b50315e4f2046853,43746293720870236586472131854702567819731110513272337494905391858188464206030,0,Up,15.95652,12.286521,0.7700000376021839,0x176a496dc73496e267a3a76a5d7c01bcdbf565d38d7a64470caefa13906fd02c,"Bitcoin Up or Down - January 4, 3PM ET",bitcoin-up-or-down-january-4-3pm-et,bitcoin-up-or-down-january-4-3pm-et,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,gabagool22,Grown-Cantaloupe,ova here,,
1767557609,2026-01-04 20:13:29,TRADE,BUY,0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,0x2b3bdb9a7d9b5b455de1da5898877d10d375bdcd6fd69ac4b50315e4f2046853,3681744695462624939795719025189239927106042881246968340323369881892713862461,1,Down,3.04,0.6384,0.21,0x087dba084fc6c6f5bddadaf9644e363b3293d3ef7a638fec02275f64a52dfb95,"Bitcoin Up or Down - January 4, 3PM ET",bitcoin-up-or-down-january-4-3pm-et,bitcoin-up-or-down-january-4-3pm-et,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,gabagool22,Grown-Cantaloupe,ova here,,
1767557607,2026-01-04 20:13:27,TRADE,BUY,0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,0x2b3bdb9a7d9b5b455de1da5898877d10d375bdcd6fd69ac4b50315e4f2046853,3681744695462624939795719025189239927106042881246968340323369881892713862461,1,Down,6.96,1.4616,0.21,0x2caad8f9de2389370dd7f1863be52a1f5e12a044c93db95f21d128ee285a01f1,"Bitcoin Up or Down - January 4, 3PM ET",bitcoin-up-or-down-january-4-3pm-et,bitcoin-up-or-down-january-4-3pm-et,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,gabagool22,Grown-Cantaloupe,ova here,,
1767557605,2026-01-04 20:13:25,TRADE,BUY,0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,0x2b3bdb9a7d9b5b455de1da5898877d10d375bdcd6fd69ac4b50315e4f2046853,3681744695462624939795719025189239927106042881246968340323369881892713862461,1,Down,5,1.05,0.21,0x636e86a8a4aa74a5a40c4a16d13954ff1c396fbb8318b6b9785c56382fa52197,"Bitcoin Up or Down - January 4, 3PM ET",bitcoin-up-or-down-january-4-3pm-et,bitcoin-up-or-down-january-4-3pm-et,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,gabagool22,Grown-Cantaloupe,ova here,,
1767557605,2026-01-04 20:13:25,TRADE,BUY,0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,0x2b3bdb9a7d9b5b455de1da5898877d10d375bdcd6fd69ac4b50315e4f2046853,3681744695462624939795719025189239927106042881246968340323369881892713862461,1,Down,5,1.05,0.21,0x0932763d678bb0b7b908347542c06a67580c4bda02c9609be09b9726e46b64ce,"Bitcoin Up or Down - January 4, 3PM ET",bitcoin-up-or-down-january-4-3pm-et,bitcoin-up-or-down-january-4-3pm-et,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,gabagool22,Grown-Cantaloupe,ova here,,
1767557597,2026-01-04 20:13:17,TRADE,BUY,0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,0x2b3bdb9a7d9b5b455de1da5898877d10d375bdcd6fd69ac4b50315e4f2046853,3681744695462624939795719025189239927106042881246968340323369881892713862461,1,Down,3,0.63,0.21,0x06ff509095d72227f86d00b2d1793362a35935a0ce1d8f25f95bff437d68d2b2,"Bitcoin Up or Down - January 4, 3PM ET",bitcoin-up-or-down-january-4-3pm-et,bitcoin-up-or-down-january-4-3pm-et,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,gabagool22,Grown-Cantaloupe,ova here,,
1767557595,2026-01-04 20:13:15,TRADE,BUY,0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,0x2b3bdb9a7d9b5b455de1da5898877d10d375bdcd6fd69ac4b50315e4f2046853,3681744695462624939795719025189239927106042881246968340323369881892713862461,1,Down,1.33,0.2793,0.21,0xbc45157e1f642e7157c1981f751db28d654a28ec6b8f7e091026425357980c5c,"Bitcoin Up or Down - January 4, 3PM ET",bitcoin-up-or-down-january-4-3pm-et,bitcoin-up-or-down-january-4-3pm-et,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,gabagool22,Grown-Cantaloupe,ova here,,
1767557579,2026-01-04 20:12:59,TRADE,BUY,0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,0x2b3bdb9a7d9b5b455de1da5898877d10d375bdcd6fd69ac4b50315e4f2046853,43746293720870236586472131854702567819731110513272337494905391858188464206030,0,Up,0.4,0.3,0.75,0xa80cbf9d791f16caa7688314ce18095b7a218af7172ffdf562c9f589fc8ea8be,"Bitcoin Up or Down - January 4, 3PM ET",bitcoin-up-or-down-january-4-3pm-et,bitcoin-up-or-down-january-4-3pm-et,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,gabagool22,Grown-Cantaloupe,ova here,,
1767557573,2026-01-04 20:12:53,TRADE,BUY,0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,0x2b3bdb9a7d9b5b455de1da5898877d10d375bdcd6fd69ac4b50315e4f2046853,43746293720870236586472131854702567819731110513272337494905391858188464206030,0,Up,20,14.4,0.72,0x0142f50eee327dcb51ad64b9dc792107bbeb6a1a674a9fed5a0616ae69449f41,"Bitcoin Up or Down - January 4, 3PM ET",bitcoin-up-or-down-january-4-3pm-et,bitcoin-up-or-down-january-4-3pm-et,https://polymarket-upload.s3.us-east-2.amazonaws.com/BTC+fullsize.png,gabagool22,Grown-Cantaloupe,ova here,,
